x,-120 V,-110 V,-100 V,-90 V,-80 V,-70 V,-60 V,-50 V,-40 V,-30 V,-20 V
-101.157,-0.48925,-0.37618,-0.28697,-0.21028,-0.15014,-0.10688,-0.07546,-0.04989,-0.02858,-0.01682,-0.01092
-100.598,-0.48808,-0.37512,-0.28638,-0.20992,-0.1501,-0.10682,-0.07542,-0.04983,-0.02855,-0.01684,-0.01095
-100.038,-0.48692,-0.37405,-0.2858,-0.20955,-0.15007,-0.10675,-0.07538,-0.04977,-0.02852,-0.01685,-0.01098
-99.479,-0.48575,-0.37299,-0.28521,-0.20919,-0.15004,-0.10668,-0.07534,-0.04971,-0.02849,-0.01687,-0.01101
-98.92,-0.48458,-0.37193,-0.28462,-0.20882,-0.15001,-0.10662,-0.0753,-0.04965,-0.02846,-0.01689,-0.01104
-98.36,-0.4834,-0.37086,-0.28403,-0.20846,-0.14997,-0.10655,-0.07526,-0.04958,-0.02843,-0.01691,-0.01107
-97.801,-0.48222,-0.3698,-0.28343,-0.2081,-0.14994,-0.10648,-0.07521,-0.04952,-0.0284,-0.01692,-0.0111
-97.242,-0.48102,-0.36874,-0.28284,-0.20773,-0.1499,-0.10641,-0.07517,-0.04946,-0.02837,-0.01694,-0.01114
-96.682,-0.47981,-0.36767,-0.28223,-0.20736,-0.14986,-0.10635,-0.07513,-0.0494,-0.02834,-0.01696,-0.01117
-96.123,-0.47858,-0.36661,-0.28163,-0.207,-0.14982,-0.10628,-0.07509,-0.04933,-0.02831,-0.01698,-0.0112
-95.564,-0.47733,-0.36554,-0.28102,-0.20663,-0.14977,-0.10621,-0.07504,-0.04927,-0.02828,-0.01699,-0.01123
-95.004,-0.47606,-0.36447,-0.2804,-0.20626,-0.14972,-0.10614,-0.075,-0.04921,-0.02825,-0.01701,-0.01126
-94.445,-0.47476,-0.36341,-0.27978,-0.2059,-0.14967,-0.10607,-0.07495,-0.04915,-0.02823,-0.01703,-0.01129
-93.886,-0.47344,-0.36234,-0.27915,-0.20553,-0.14961,-0.106,-0.07491,-0.04908,-0.0282,-0.01704,-0.01132
-93.326,-0.47209,-0.36127,-0.27851,-0.20516,-0.14955,-0.10593,-0.07486,-0.04902,-0.02817,-0.01706,-0.01135
-92.767,-0.47071,-0.3602,-0.27787,-0.20478,-0.14948,-0.10586,-0.07481,-0.04896,-0.02814,-0.01708,-0.01139
-92.208,-0.4693,-0.35913,-0.27722,-0.20441,-0.14941,-0.10578,-0.07477,-0.0489,-0.02811,-0.0171,-0.01142
-91.648,-0.46787,-0.35806,-0.27657,-0.20404,-0.14933,-0.10571,-0.07472,-0.04883,-0.02808,-0.01711,-0.01145
-91.089,-0.4664,-0.35698,-0.2759,-0.20366,-0.14924,-0.10563,-0.07467,-0.04877,-0.02805,-0.01713,-0.01148
-90.53,-0.4649,-0.35591,-0.27523,-0.20328,-0.14915,-0.10556,-0.07461,-0.04871,-0.02802,-0.01715,-0.01151
-89.97,-0.46337,-0.35483,-0.27455,-0.2029,-0.14906,-0.10548,-0.07456,-0.04865,-0.028,-0.01716,-0.01154
-89.411,-0.46181,-0.35375,-0.27387,-0.20252,-0.14895,-0.1054,-0.0745,-0.04859,-0.02797,-0.01718,-0.01157
-88.852,-0.46022,-0.35267,-0.27318,-0.20214,-0.14884,-0.10532,-0.07445,-0.04852,-0.02794,-0.01719,-0.0116
-88.292,-0.4586,-0.35159,-0.27248,-0.20175,-0.14872,-0.10524,-0.07439,-0.04846,-0.02791,-0.01721,-0.01163
-87.733,-0.45695,-0.3505,-0.27177,-0.20137,-0.1486,-0.10516,-0.07433,-0.0484,-0.02788,-0.01723,-0.01166
-87.174,-0.45527,-0.34942,-0.27106,-0.20098,-0.14846,-0.10508,-0.07427,-0.04834,-0.02786,-0.01724,-0.01169
-86.614,-0.45356,-0.34833,-0.27034,-0.20058,-0.14832,-0.105,-0.07421,-0.04828,-0.02783,-0.01726,-0.01172
