x,-120 V,-110 V,-100 V,-90 V,-80 V,-70 V,-60 V,-50 V,-40 V,-30 V,-20 V
-101.224,-0.48957,-0.38382,-0.28933,-0.20675,-0.14872,-0.10492,-0.06883,-0.0462,-0.03082,-0.02129,-0.00807
-100.665,-0.48832,-0.38282,-0.28912,-0.20645,-0.14862,-0.10483,-0.06881,-0.04615,-0.03079,-0.02126,-0.00806
-100.105,-0.48707,-0.38183,-0.28891,-0.20616,-0.14851,-0.10475,-0.06879,-0.0461,-0.03075,-0.02123,-0.00806
-99.546,-0.48583,-0.38083,-0.28869,-0.20586,-0.14841,-0.10466,-0.06877,-0.04604,-0.03072,-0.02121,-0.00805
-98.987,-0.48458,-0.37983,-0.28847,-0.20556,-0.1483,-0.10457,-0.06875,-0.04599,-0.03068,-0.02118,-0.00804
-98.427,-0.48333,-0.37883,-0.28823,-0.20526,-0.1482,-0.10448,-0.06872,-0.04593,-0.03065,-0.02116,-0.00804
-97.868,-0.48206,-0.37783,-0.28798,-0.20496,-0.14809,-0.1044,-0.0687,-0.04588,-0.03061,-0.02113,-0.00803
-97.309,-0.48079,-0.37683,-0.28771,-0.20466,-0.14798,-0.10431,-0.06868,-0.04582,-0.03058,-0.02111,-0.00802
-96.749,-0.4795,-0.37583,-0.28742,-0.20436,-0.14787,-0.10422,-0.06866,-0.04577,-0.03054,-0.02108,-0.00802
-96.19,-0.4782,-0.37483,-0.2871,-0.20405,-0.14775,-0.10413,-0.06864,-0.04572,-0.03051,-0.02106,-0.00801
-95.631,-0.47688,-0.37382,-0.28676,-0.20374,-0.14763,-0.10404,-0.06862,-0.04566,-0.03047,-0.02103,-0.00801
-95.071,-0.47555,-0.37281,-0.28639,-0.20343,-0.14751,-0.10395,-0.0686,-0.04561,-0.03044,-0.02101,-0.008
-94.512,-0.47419,-0.37181,-0.28599,-0.20311,-0.14739,-0.10386,-0.06857,-0.04555,-0.03041,-0.02098,-0.00799
-93.953,-0.47282,-0.37079,-0.28557,-0.20279,-0.14726,-0.10377,-0.06855,-0.0455,-0.03037,-0.02095,-0.00799
-93.393,-0.47143,-0.36978,-0.28511,-0.20247,-0.14713,-0.10368,-0.06853,-0.04545,-0.03034,-0.02093,-0.00798
-92.834,-0.47002,-0.36876,-0.28462,-0.20215,-0.14699,-0.10359,-0.0685,-0.04539,-0.0303,-0.0209,-0.00797
-92.275,-0.46859,-0.36774,-0.28411,-0.20181,-0.14685,-0.1035,-0.06848,-0.04534,-0.03027,-0.02088,-0.00797
-91.715,-0.46715,-0.36672,-0.28356,-0.20148,-0.1467,-0.10341,-0.06846,-0.04528,-0.03023,-0.02085,-0.00796
-91.156,-0.46569,-0.36569,-0.28298,-0.20114,-0.14655,-0.10331,-0.06843,-0.04523,-0.0302,-0.02083,-0.00795
-90.597,-0.46421,-0.36466,-0.28238,-0.20079,-0.14639,-0.10322,-0.06841,-0.04518,-0.03016,-0.0208,-0.00795
-90.037,-0.46271,-0.36362,-0.28175,-0.20044,-0.14623,-0.10313,-0.06838,-0.04512,-0.03013,-0.02078,-0.00794
-89.478,-0.4612,-0.36257,-0.28111,-0.20008,-0.14606,-0.10303,-0.06836,-0.04507,-0.03009,-0.02075,-0.00793
-88.919,-0.45968,-0.36152,-0.28044,-0.19971,-0.14589,-0.10294,-0.06833,-0.04502,-0.03006,-0.02073,-0.00793
-88.359,-0.45814,-0.36047,-0.27975,-0.19934,-0.14571,-0.10284,-0.06831,-0.04496,-0.03003,-0.02071,-0.00792
-87.8,-0.45659,-0.3594,-0.27905,-0.19896,-0.14553,-0.10274,-0.06828,-0.04491,-0.02999,-0.02068,-0.00791
-87.241,-0.45502,-0.35833,-0.27834,-0.19858,-0.14534,-0.10264,-0.06825,-0.04486,-0.02996,-0.02066,-0.00791
-86.681,-0.45345,-0.35724,-0.27761,-0.19819,-0.14515,-0.10254,-0.06822,-0.0448,-0.02992,-0.02063,-0.0079
-86.122,-0.45186,-0.35615,-0.27688,-0.19779,-0.14495,-0.10244,-0.06819,-0.04475,-0.02989,-0.02061,-0.00789
-85.562,-0.45026,-0.35504,-0.27613,-0.19738,-0.14474,-0.10234,-0.06816,-0.0447,-0.02985,-0.02058,-0.00789
-85.003,-0.44865,-0.35392,-0.27538,-0.19696,-0.14453,-0.10223,-0.06813,-0.04465,-0.02982,-0.02056,-0.00788
-84.444,-0.44703,-0.35278,-0.27461,-0.19654,-0.14432,-0.10213,-0.0681,-0.04459,-0.02979,-0.02054,-0.00787
-83.884,-0.4454,-0.35162,-0.27385,-0.19611,-0.14409,-0.10202,-0.06807,-0.04454,-0.02975,-0.02051,-0.00787
-83.325,-0.44376,-0.35045,-0.27307,-0.19567,-0.14387,-0.10191,-0.06804,-0.04449,-0.02972,-0.02049,-0.00786
-82.766,-0.44211,-0.34925,-0.27229,-0.19522,-0.14364,-0.10179,-0.06801,-0.04444,-0.02968,-0.02046,-0.00785
-82.206,-0.44045,-0.34803,-0.27151,-0.19476,-0.1434,-0.10167,-0.06797,-0.04439,-0.02965,-0.02044,-0.00785
-81.647,-0.43878,-0.34679,-0.27073,-0.1943,-0.14316,-0.10155,-0.06794,-0.04433,-0.02962,-0.02042,-0.00784
-81.088,-0.4371,-0.34552,-0.26994,-0.19383,-0.14291,-0.10143,-0.0679,-0.04428,-0.02958,-0.02039,-0.00783
-80.528,-0.43541,-0.34424,-0.26915,-0.19335,-0.14266,-0.1013,-0.06786,-0.04423,-0.02955,-0.02037,-0.00782
-79.969,-0.43371,-0.34293,-0.26837,-0.19287,-0.14241,-0.10116,-0.06782,-0.04418,-0.02951,-0.02035,-0.00782
-79.41,-0.43201,-0.3416,-0.26758,-0.19238,-0.14215,-0.10102,-0.06778,-0.04413,-0.02948,-0.02033,-0.00781
-78.85,-0.43029,-0.34026,-0.2668,-0.19188,-0.14188,-0.10088,-0.06774,-0.04408,-0.02945,-0.0203,-0.0078
-78.291,-0.42857,-0.33889,-0.26601,-0.19138,-0.14161,-0.10073,-0.0677,-0.04403,-0.02941,-0.02028,-0.00779
-77.732,-0.42683,-0.33752,-0.26523,-0.19087,-0.14134,-0.10058,-0.06766,-0.04398,-0.02938,-0.02026,-0.00779
-77.172,-0.42509,-0.33614,-0.26444,-0.19035,-0.14106,-0.10041,-0.06761,-0.04393,-0.02935,-0.02024,-0.00778
-76.613,-0.42333,-0.33474,-0.26366,-0.18983,-0.14078,-0.10025,-0.06757,-0.04388,-0.02931,-0.02022,-0.00777
-76.054,-0.42157,-0.33334,-0.26286,-0.1893,-0.14049,-0.10007,-0.06752,-0.04383,-0.02928,-0.0202,-0.00776
-75.494,-0.41979,-0.33194,-0.26207,-0.18877,-0.1402,-0.0999,-0.06747,-0.04378,-0.02925,-0.02017,-0.00776
-74.935,-0.41801,-0.33054,-0.26126,-0.18823,-0.13991,-0.09971,-0.06742,-0.04373,-0.02921,-0.02015,-0.00775
-74.376,-0.41621,-0.32913,-0.26045,-0.18768,-0.13961,-0.09952,-0.06737,-0.04369,-0.02918,-0.02013,-0.00774
-73.816,-0.41441,-0.32773,-0.25963,-0.18713,-0.13931,-0.09932,-0.06731,-0.04364,-0.02915,-0.02011,-0.00773
