x,-90 V,-80 V,-70 V,-60 V,-50 V,-40 V,-30 V
-101.494,-0.000202211,-0.000104278,-5.4169e-05,-2.772e-05,-1.4924e-05,-8.219e-06,-9.18e-07
-100.434,-0.000202063,-0.000104046,-5.4212e-05,-2.7687e-05,-1.491e-05,-8.232e-06,-9.05e-07
-99.373,-0.000201913,-0.000103815,-5.4254e-05,-2.7653e-05,-1.4895e-05,-8.245e-06,-8.92e-07
-98.312,-0.000201752,-0.000103583,-5.4296e-05,-2.7619e-05,-1.488e-05,-8.258e-06,-8.8e-07
-97.251,-0.000201574,-0.00010335,-5.4337e-05,-2.7586e-05,-1.4866e-05,-8.27e-06,-8.67e-07
-96.19,-0.000201372,-0.000103116,-5.4377e-05,-2.7552e-05,-1.4851e-05,-8.283e-06,-8.54e-07
-95.13,-0.000201141,-0.00010288,-5.4414e-05,-2.7518e-05,-1.4837e-05,-8.296e-06,-8.41e-07
-94.069,-0.000200873,-0.000102642,-5.4449e-05,-2.7484e-05,-1.4822e-05,-8.308e-06,-8.28e-07
-93.008,-0.000200563,-0.000102401,-5.4481e-05,-2.7449e-05,-1.4808e-05,-8.32e-06,-8.16e-07
-91.947,-0.000200206,-0.000102157,-5.4509e-05,-2.7415e-05,-1.4793e-05,-8.332e-06,-8.03e-07
-90.887,-0.000199797,-0.000101909,-5.4534e-05,-2.738e-05,-1.4779e-05,-8.344e-06,-7.9e-07
-89.826,-0.00019933,-0.000101657,-5.4554e-05,-2.7345e-05,-1.4764e-05,-8.356e-06,-7.77e-07
-88.765,-0.000198803,-0.0001014,-5.4569e-05,-2.7309e-05,-1.475e-05,-8.367e-06,-7.65e-07
-87.704,-0.000198211,-0.000101137,-5.4578e-05,-2.7273e-05,-1.4736e-05,-8.378e-06,-7.52e-07
-86.644,-0.00019755,-0.000100867,-5.4582e-05,-2.7237e-05,-1.4722e-05,-8.388e-06,-7.39e-07
-85.583,-0.000196819,-0.00010059,-5.4579e-05,-2.72e-05,-1.4707e-05,-8.399e-06,-7.26e-07
-84.522,-0.000196014,-0.000100305,-5.4569e-05,-2.7163e-05,-1.4693e-05,-8.408e-06,-7.13e-07
-83.461,-0.000195134,-0.000100009,-5.4551e-05,-2.7125e-05,-1.4679e-05,-8.418e-06,-7.01e-07
-82.401,-0.00019418,-9.9703e-05,-5.4524e-05,-2.7087e-05,-1.4666e-05,-8.427e-06,-6.88e-07
-81.34,-0.000193157,-9.9383e-05,-5.4489e-05,-2.7048e-05,-1.4652e-05,-8.435e-06,-6.75e-07
-80.279,-0.000192068,-9.9049e-05,-5.4444e-05,-2.7008e-05,-1.4638e-05,-8.443e-06,-6.62e-07
-79.218,-0.000190917,-9.8696e-05,-5.4389e-05,-2.6967e-05,-1.4624e-05,-8.451e-06,-6.49e-07
-78.158,-0.000189707,-9.8323e-05,-5.4322e-05,-2.6926e-05,-1.4611e-05,-8.457e-06,-6.37e-07
-77.097,-0.000188441,-9.7925e-05,-5.4244e-05,-2.6884e-05,-1.4598e-05,-8.463e-06,-6.24e-07
-76.036,-0.000187121,-9.7499e-05,-5.4153e-05,-2.6842e-05,-1.4584e-05,-8.469e-06,-6.11e-07
-74.975,-0.000185747,-9.7042e-05,-5.4049e-05,-2.6798e-05,-1.4571e-05,-8.474e-06,-5.98e-07
-73.914,-0.000184321,-9.655e-05,-5.393e-05,-2.6753e-05,-1.4558e-05,-8.478e-06,-5.86e-07
-72.854,-0.000182845,-9.602e-05,-5.3795e-05,-2.6708e-05,-1.4545e-05,-8.481e-06,-5.73e-07
-71.793,-0.000181318,-9.5448e-05,-5.3645e-05,-2.6661e-05,-1.4533e-05,-8.484e-06,-5.6e-07
-70.732,-0.00017974,-9.4832e-05,-5.3477e-05,-2.6613e-05,-1.452e-05,-8.485e-06,-5.47e-07
-69.671,-0.000178111,-9.417e-05,-5.3292e-05,-2.6564e-05,-1.4508e-05,-8.486e-06,-5.34e-07
-68.611,-0.00017643,-9.3463e-05,-5.309e-05,-2.6514e-05,-1.4495e-05,-8.486e-06,-5.22e-07
-67.55,-0.000174696,-9.2711e-05,-5.2871e-05,-2.6462e-05,-1.4483e-05,-8.484e-06,-5.09e-07
-66.489,-0.000172907,-9.1918e-05,-5.2635e-05,-2.6409e-05,-1.4471e-05,-8.482e-06,-4.96e-07
-65.428,-0.00017106,-9.1089e-05,-5.2383e-05,-2.6355e-05,-1.4459e-05,-8.479e-06,-4.83e-07
-64.368,-0.000169151,-9.023e-05,-5.2114e-05,-2.6298e-05,-1.4448e-05,-8.474e-06,-4.7e-07
-63.307,-0.000167176,-8.9348e-05,-5.1829e-05,-2.6241e-05,-1.4436e-05,-8.468e-06,-4.58e-07
-62.246,-0.000165134,-8.8443e-05,-5.1527e-05,-2.6181e-05,-1.4425e-05,-8.461e-06,-4.45e-07
-61.185,-0.000163022,-8.7518e-05,-5.121e-05,-2.6119e-05,-1.4414e-05,-8.453e-06,-4.32e-07
-60.125,-0.000160839,-8.6573e-05,-5.0877e-05,-2.6056e-05,-1.4403e-05,-8.443e-06,-4.19e-07
-59.064,-0.000158586,-8.5609e-05,-5.0528e-05,-2.599e-05,-1.4391e-05,-8.432e-06,-4.07e-07
-58.003,-0.000156266,-8.4626e-05,-5.0163e-05,-2.5922e-05,-1.4378e-05,-8.419e-06,-3.94e-07
-56.942,-0.000153882,-8.3625e-05,-4.9783e-05,-2.5852e-05,-1.4365e-05,-8.405e-06,-3.81e-07
-55.882,-0.00015144,-8.2607e-05,-4.9387e-05,-2.5779e-05,-1.435e-05,-8.389e-06,-3.68e-07
-54.821,-0.000148945,-8.1571e-05,-4.8977e-05,-2.5704e-05,-1.4333e-05,-8.371e-06,-3.55e-07
-53.76,-0.000146407,-8.0519e-05,-4.8551e-05,-2.5625e-05,-1.4315e-05,-8.352e-06,-3.43e-07
-52.699,-0.000143832,-7.9449e-05,-4.8111e-05,-2.5543e-05,-1.4294e-05,-8.33e-06,-3.3e-07
-51.638,-0.000141229,-7.8364e-05,-4.7656e-05,-2.5458e-05,-1.4271e-05,-8.306e-06,-3.17e-07
-50.578,-0.000138604,-7.7261e-05,-4.7187e-05,-2.537e-05,-1.4245e-05,-8.281e-06,-3.04e-07
-49.517,-0.000135965,-7.6143e-05,-4.6704e-05,-2.5277e-05,-1.4216e-05,-8.253e-06,-2.91e-07
-48.456,-0.00013331,-7.5008e-05,-4.6207e-05,-2.518e-05,-1.4183e-05,-8.222e-06,-2.79e-07
-47.395,-0.000130641,-7.3855e-05,-4.5696e-05,-2.5078e-05,-1.4147e-05,-8.189e-06,-2.66e-07
-46.335,-0.000127956,-7.2683e-05,-4.5172e-05,-2.4972e-05,-1.4106e-05,-8.154e-06,-2.53e-07
-45.274,-0.000125256,-7.1491e-05,-4.4632e-05,-2.486e-05,-1.406e-05,-8.115e-06,-2.4e-07
-44.213,-0.000122541,-7.0278e-05,-4.4076e-05,-2.4742e-05,-1.4009e-05,-8.074e-06,-2.27e-07
-43.152,-0.000119809,-6.9041e-05,-4.3504e-05,-2.4617e-05,-1.3953e-05,-8.03e-06,-2.15e-07
-42.092,-0.000117062,-6.778e-05,-4.2913e-05,-2.4485e-05,-1.3891e-05,-7.982e-06,-2.02e-07
-41.031,-0.000114299,-6.6493e-05,-4.2303e-05,-2.4344e-05,-1.3823e-05,-7.93e-06,-1.89e-07
-39.97,-0.00011152,-6.5178e-05,-4.1673e-05,-2.4195e-05,-1.3748e-05,-7.875e-06,-1.76e-07
-38.909,-0.000108725,-6.3833e-05,-4.1022e-05,-2.4034e-05,-1.3665e-05,-7.816e-06,-1.64e-07
-37.849,-0.000105913,-6.2456e-05,-4.0347e-05,-2.3861e-05,-1.3575e-05,-7.753e-06,-1.51e-07
-36.788,-0.000103084,-6.1045e-05,-3.9649e-05,-2.3674e-05,-1.3475e-05,-7.685e-06,-1.38e-07
-35.727,-0.000100239,-5.9596e-05,-3.8926e-05,-2.3471e-05,-1.3367e-05,-7.612e-06,-1.25e-07
-34.666,-9.7376e-05,-5.8107e-05,-3.8177e-05,-2.3251e-05,-1.3249e-05,-7.533e-06,-1.12e-07
-33.606,-9.4496e-05,-5.6575e-05,-3.7401e-05,-2.3011e-05,-1.312e-05,-7.449e-06,-1e-07
-32.545,-9.1599e-05,-5.4999e-05,-3.6598e-05,-2.2748e-05,-1.298e-05,-7.359e-06,-8.7e-08
-31.484,-8.8684e-05,-5.3381e-05,-3.5765e-05,-2.2459e-05,-1.2827e-05,-7.262e-06,-7.4e-08
