x,-90 V,-80 V,-70 V,-60 V,-50 V,-40 V,-30 V
0.414,0.000002411,0.000003109,0.000002513,0.000001204,9.60E-08,0.00000063,0.000000602
0.197,0.000001844,0.000002711,0.000002243,0.000001029,-3.00E-10,0.000000573,0.000000598
-0.019,0.000001278,0.000002313,0.000001972,0.000000855,-9.70E-08,0.000000515,0.000000594
-0.236,0.000000711,0.000001916,0.000001701,0.000000681,-0.000000193,0.000000458,0.00000059
-0.452,0.000000144,0.000001518,0.00000143,0.000000507,-0.00000029,0.0000004,0.000000586
-0.669,-0.000000423,0.000001121,0.00000116,0.000000333,-0.000000386,0.000000343,0.000000583
-0.885,-0.000000989,0.000000723,0.000000889,0.000000159,-0.000000482,0.000000285,0.000000579
-1.102,-0.000001556,0.000000326,0.000000618,-1.50E-08,-0.000000579,0.000000228,0.000000575
-1.318,-0.000002123,-7.10E-08,0.000000348,-0.000000189,-0.000000675,0.00000017,0.000000571
-1.535,-0.000002689,-0.000000468,7.70E-08,-0.000000363,-0.000000772,0.000000113,0.000000568
-1.751,-0.000003256,-0.000000865,-0.000000193,-0.000000536,-0.000000868,5.50E-08,0.000000564
-1.968,-0.000003823,-0.000001261,-0.000000464,-0.00000071,-0.000000964,-2.00E-09,0.00000056
-2.184,-0.00000439,-0.000001658,-0.000000734,-0.000000883,-0.000001061,-6.00E-08,0.000000556
-2.401,-0.000004956,-0.000002054,-0.000001004,-0.000001056,-0.000001157,-0.000000117,0.000000553
-2.617,-0.000005523,-0.00000245,-0.000001274,-0.000001229,-0.000001253,-0.000000175,0.000000549
-2.834,-0.00000609,-0.000002845,-0.000001544,-0.000001402,-0.00000135,-0.000000232,0.000000545
-3.05,-0.000006656,-0.000003241,-0.000001814,-0.000001574,-0.000001446,-0.00000029,0.000000541
-3.267,-0.000007223,-0.000003636,-0.000002084,-0.000001746,-0.000001542,-0.000000347,0.000000537
-3.483,-0.00000779,-0.000004031,-0.000002354,-0.000001918,-0.000001638,-0.000000405,0.000000534
-3.7,-0.000008356,-0.000004425,-0.000002623,-0.00000209,-0.000001734,-0.000000463,0.00000053
-3.916,-0.000008923,-0.000004819,-0.000002893,-0.000002261,-0.00000183,-0.00000052,0.000000526
-4.133,-0.000009489,-0.000005212,-0.000003162,-0.000002433,-0.000001926,-0.000000578,0.000000522
-4.349,-0.000010056,-0.000005606,-0.000003431,-0.000002603,-0.000002023,-0.000000635,0.000000519
-4.566,-0.000010622,-0.000005998,-0.0000037,-0.000002774,-0.000002118,-0.000000693,0.000000515
-4.782,-0.000011189,-0.000006391,-0.000003969,-0.000002944,-0.000002214,-0.000000751,0.000000511
