x,Curve1
-69.769,7.17E-05
-69,7.03E-05
-68,6.78E-05
-67,6.51E-05
-66,6.24E-05
-65,5.98E-05
-64,5.73E-05
-63,5.49E-05
-62,5.25E-05
-61,5.02E-05
-60,4.80E-05
-59,4.58E-05
-58,4.37E-05
-57,4.16E-05
-56,3.96E-05
-55,3.76E-05
-54,3.57E-05
-53,3.38E-05
-52,3.19E-05
-51,3.01E-05
-50,2.83E-05
-49,2.65E-05
-48,2.49E-05
-47,2.33E-05
-46,2.17E-05
-45,2.03E-05
-44,1.89E-05
-43,1.76E-05
-42,1.64E-05
-41,1.52E-05
-40,1.41E-05
-39,1.31E-05
-38,1.21E-05
-37,1.12E-05
-36,1.03E-05
-35,9.48E-06
-34,8.70E-06
-33,7.97E-06
-32,7.29E-06
-31,6.65E-06
-30,6.05E-06
-29,5.50E-06
-28,4.99E-06
-27,4.51E-06
-26,4.07E-06
-25,3.67E-06
-24,3.30E-06
-23,2.96E-06
-22,2.64E-06
-21,2.36E-06
-20,2.10E-06
-19,1.86E-06
-18,1.64E-06
-17,1.45E-06
-16,1.27E-06
-15,1.11E-06
-14,9.64E-07
-13,8.33E-07
-12,7.15E-07
-11,6.10E-07
-10,5.16E-07
-9,4.33E-07
-8,3.59E-07
-7,2.94E-07
-6,2.37E-07
-5,1.87E-07
-4,1.45E-07
-3,1.12E-07
-2,8.67E-08
-1,6.76E-08
0,5.29E-08
0.121,5.13E-08
