Len,Osc,Die,Vg,Vd,Id
16,36,170,-10,-60,9.98E-08
16,36,170,-10,-59.8,9.98E-08
16,36,170,-10,-59.6,9.97E-08
16,36,170,-10,-59.4,9.97E-08
16,36,170,-10,-59.2,9.97E-08
16,36,170,-10,-59,9.97E-08
16,36,170,-10,-58.8,9.97E-08
16,36,170,-10,-58.6,9.97E-08
16,36,170,-10,-58.4,9.97E-08
16,36,170,-10,-58.2,9.97E-08
16,36,170,-10,-58,9.97E-08
16,36,170,-10,-57.8,9.97E-08
16,36,170,-10,-57.6,9.97E-08
16,36,170,-10,-57.4,9.97E-08
16,36,170,-10,-57.2,9.97E-08
16,36,170,-10,-57,9.97E-08
16,36,170,-10,-56.8,9.97E-08
16,36,170,-10,-56.6,9.96E-08
16,36,170,-10,-56.4,9.96E-08
16,36,170,-10,-56.2,9.96E-08
16,36,170,-10,-56,9.96E-08
16,36,170,-10,-55.8,9.96E-08
16,36,170,-10,-55.6,9.96E-08
16,36,170,-10,-55.4,9.96E-08
16,36,170,-10,-55.2,9.96E-08
16,36,170,-10,-55,9.96E-08
16,36,170,-10,-54.8,9.96E-08
16,36,170,-10,-54.6,9.96E-08
16,36,170,-10,-54.4,9.96E-08
16,36,170,-10,-54.2,9.96E-08
16,36,170,-10,-54,9.95E-08
16,36,170,-10,-53.8,9.95E-08
16,36,170,-10,-53.6,9.95E-08
16,36,170,-10,-53.4,9.95E-08
16,36,170,-10,-53.2,9.95E-08
16,36,170,-10,-53,9.95E-08
16,36,170,-10,-52.8,9.95E-08
16,36,170,-10,-52.6,9.95E-08
16,36,170,-10,-52.4,9.95E-08
16,36,170,-10,-52.2,9.95E-08
16,36,170,-10,-52,9.95E-08
16,36,170,-10,-51.8,9.95E-08
16,36,170,-10,-51.6,9.95E-08
16,36,170,-10,-51.4,9.94E-08
16,36,170,-10,-51.2,9.94E-08
16,36,170,-10,-51,9.94E-08
16,36,170,-10,-50.8,9.94E-08
16,36,170,-10,-50.6,9.94E-08
16,36,170,-10,-50.4,9.94E-08
16,36,170,-10,-50.2,9.94E-08
16,36,170,-10,-50,9.94E-08
16,36,170,-10,-49.8,9.94E-08
16,36,170,-10,-49.6,9.94E-08
16,36,170,-10,-49.4,9.94E-08
16,36,170,-10,-49.2,9.94E-08
16,36,170,-10,-49,9.93E-08
16,36,170,-10,-48.8,9.93E-08
16,36,170,-10,-48.6,9.93E-08
16,36,170,-10,-48.4,9.93E-08
16,36,170,-10,-48.2,9.93E-08
16,36,170,-10,-48,9.93E-08
16,36,170,-10,-47.8,9.93E-08
16,36,170,-10,-47.6,9.93E-08
16,36,170,-10,-47.4,9.93E-08
16,36,170,-10,-47.2,9.93E-08
16,36,170,-10,-47,9.93E-08
16,36,170,-10,-46.8,9.93E-08
16,36,170,-10,-46.6,9.92E-08
16,36,170,-10,-46.4,9.92E-08
16,36,170,-10,-46.2,9.92E-08
16,36,170,-10,-46,9.92E-08
16,36,170,-10,-45.8,9.92E-08
16,36,170,-10,-45.6,9.92E-08
16,36,170,-10,-45.4,9.92E-08
16,36,170,-10,-45.2,9.92E-08
16,36,170,-10,-45,9.92E-08
16,36,170,-10,-44.8,9.92E-08
16,36,170,-10,-44.6,9.92E-08
16,36,170,-10,-44.4,9.91E-08
16,36,170,-10,-44.2,9.91E-08
16,36,170,-10,-44,9.91E-08
16,36,170,-10,-43.8,9.91E-08
16,36,170,-10,-43.6,9.91E-08
16,36,170,-10,-43.4,9.91E-08
16,36,170,-10,-43.2,9.91E-08
16,36,170,-10,-43,9.91E-08
16,36,170,-10,-42.8,9.91E-08
16,36,170,-10,-42.6,9.91E-08
16,36,170,-10,-42.4,9.90E-08
16,36,170,-10,-42.2,9.90E-08
16,36,170,-10,-42,9.90E-08
16,36,170,-10,-41.8,9.90E-08
16,36,170,-10,-41.6,9.90E-08
16,36,170,-10,-41.4,9.90E-08
16,36,170,-10,-41.2,9.90E-08
16,36,170,-10,-41,9.90E-08
16,36,170,-10,-40.8,9.90E-08
16,36,170,-10,-40.6,9.90E-08
16,36,170,-10,-40.4,9.89E-08
16,36,170,-10,-40.2,9.89E-08
16,36,170,-10,-40,9.89E-08
16,36,170,-10,-39.8,9.89E-08
16,36,170,-10,-39.6,9.89E-08
16,36,170,-10,-39.4,9.89E-08
16,36,170,-10,-39.2,9.89E-08
16,36,170,-10,-39,9.89E-08
16,36,170,-10,-38.8,9.89E-08
16,36,170,-10,-38.6,9.88E-08
16,36,170,-10,-38.4,9.88E-08
16,36,170,-10,-38.2,9.88E-08
16,36,170,-10,-38,9.88E-08
16,36,170,-10,-37.8,9.88E-08
16,36,170,-10,-37.6,9.88E-08
16,36,170,-10,-37.4,9.88E-08
16,36,170,-10,-37.2,9.88E-08
16,36,170,-10,-37,9.88E-08
16,36,170,-10,-36.8,9.87E-08
16,36,170,-10,-36.6,9.87E-08
16,36,170,-10,-36.4,9.87E-08
16,36,170,-10,-36.2,9.87E-08
16,36,170,-10,-36,9.87E-08
16,36,170,-10,-35.8,9.87E-08
16,36,170,-10,-35.6,9.87E-08
16,36,170,-10,-35.4,9.87E-08
16,36,170,-10,-35.2,9.87E-08
16,36,170,-10,-35,9.86E-08
16,36,170,-10,-34.8,9.86E-08
16,36,170,-10,-34.6,9.86E-08
16,36,170,-10,-34.4,9.86E-08
16,36,170,-10,-34.2,9.86E-08
16,36,170,-10,-34,9.86E-08
16,36,170,-10,-33.8,9.86E-08
16,36,170,-10,-33.6,9.85E-08
16,36,170,-10,-33.4,9.85E-08
16,36,170,-10,-33.2,9.85E-08
16,36,170,-10,-33,9.85E-08
16,36,170,-10,-32.8,9.85E-08
16,36,170,-10,-32.6,9.85E-08
16,36,170,-10,-32.4,9.85E-08
16,36,170,-10,-32.2,9.85E-08
16,36,170,-10,-32,9.84E-08
16,36,170,-10,-31.8,9.84E-08
16,36,170,-10,-31.6,9.84E-08
16,36,170,-10,-31.4,9.84E-08
16,36,170,-10,-31.2,9.84E-08
16,36,170,-10,-31,9.84E-08
16,36,170,-10,-30.8,9.84E-08
16,36,170,-10,-30.6,9.83E-08
16,36,170,-10,-30.4,9.83E-08
16,36,170,-10,-30.2,9.83E-08
16,36,170,-10,-30,9.83E-08
16,36,170,-10,-29.8,9.83E-08
16,36,170,-10,-29.6,9.83E-08
16,36,170,-10,-29.4,9.83E-08
16,36,170,-10,-29.2,9.82E-08
16,36,170,-10,-29,9.82E-08
16,36,170,-10,-28.8,9.82E-08
16,36,170,-10,-28.6,9.82E-08
16,36,170,-10,-28.4,9.82E-08
16,36,170,-10,-28.2,9.82E-08
16,36,170,-10,-28,9.81E-08
16,36,170,-10,-27.8,9.81E-08
16,36,170,-10,-27.6,9.81E-08
16,36,170,-10,-27.4,9.81E-08
16,36,170,-10,-27.2,9.81E-08
16,36,170,-10,-27,9.80E-08
16,36,170,-10,-26.8,9.80E-08
16,36,170,-10,-26.6,9.80E-08
16,36,170,-10,-26.4,9.80E-08
16,36,170,-10,-26.2,9.80E-08
16,36,170,-10,-26,9.79E-08
16,36,170,-10,-25.8,9.79E-08
16,36,170,-10,-25.6,9.79E-08
16,36,170,-10,-25.4,9.79E-08
16,36,170,-10,-25.2,9.79E-08
16,36,170,-10,-25,9.78E-08
16,36,170,-10,-24.8,9.78E-08
16,36,170,-10,-24.6,9.78E-08
16,36,170,-10,-24.4,9.78E-08
16,36,170,-10,-24.2,9.77E-08
16,36,170,-10,-24,9.77E-08
16,36,170,-10,-23.8,9.77E-08
16,36,170,-10,-23.6,9.76E-08
16,36,170,-10,-23.4,9.76E-08
16,36,170,-10,-23.2,9.76E-08
16,36,170,-10,-23,9.76E-08
16,36,170,-10,-22.8,9.75E-08
16,36,170,-10,-22.6,9.75E-08
16,36,170,-10,-22.4,9.75E-08
16,36,170,-10,-22.2,9.74E-08
16,36,170,-10,-22,9.74E-08
16,36,170,-10,-21.8,9.73E-08
16,36,170,-10,-21.6,9.73E-08
16,36,170,-10,-21.4,9.72E-08
16,36,170,-10,-21.2,9.72E-08
16,36,170,-10,-21,9.72E-08
16,36,170,-10,-20.8,9.71E-08
16,36,170,-10,-20.6,9.70E-08
16,36,170,-10,-20.4,9.70E-08
16,36,170,-10,-20.2,9.69E-08
16,36,170,-10,-20,9.69E-08
16,36,170,-10,-19.8,9.68E-08
16,36,170,-10,-19.6,9.67E-08
16,36,170,-10,-19.4,9.66E-08
16,36,170,-10,-19.2,9.65E-08
16,36,170,-10,-19,9.65E-08
16,36,170,-10,-18.8,9.63E-08
16,36,170,-10,-18.6,9.62E-08
16,36,170,-10,-18.4,9.61E-08
16,36,170,-10,-18.2,9.60E-08
16,36,170,-10,-18,9.59E-08
16,36,170,-10,-17.8,9.57E-08
16,36,170,-10,-17.6,9.55E-08
16,36,170,-10,-17.4,9.54E-08
16,36,170,-10,-17.2,9.52E-08
16,36,170,-10,-17,9.50E-08
16,36,170,-10,-16.8,9.48E-08
16,36,170,-10,-16.6,9.46E-08
16,36,170,-10,-16.4,9.43E-08
16,36,170,-10,-16.2,9.41E-08
16,36,170,-10,-16,9.38E-08
16,36,170,-10,-15.8,9.35E-08
16,36,170,-10,-15.6,9.32E-08
16,36,170,-10,-15.4,9.28E-08
16,36,170,-10,-15.2,9.25E-08
16,36,170,-10,-15,9.22E-08
16,36,170,-10,-14.8,9.17E-08
16,36,170,-10,-14.6,9.13E-08
16,36,170,-10,-14.4,9.09E-08
16,36,170,-10,-14.2,9.04E-08
16,36,170,-10,-14,9.00E-08
16,36,170,-10,-13.8,8.94E-08
16,36,170,-10,-13.6,8.89E-08
16,36,170,-10,-13.4,8.83E-08
16,36,170,-10,-13.2,8.78E-08
16,36,170,-10,-13,8.72E-08
16,36,170,-10,-12.8,8.66E-08
16,36,170,-10,-12.6,8.59E-08
16,36,170,-10,-12.4,8.52E-08
16,36,170,-10,-12.2,8.45E-08
16,36,170,-10,-12,8.39E-08
16,36,170,-10,-11.8,8.31E-08
16,36,170,-10,-11.6,8.23E-08
16,36,170,-10,-11.4,8.15E-08
16,36,170,-10,-11.2,8.07E-08
16,36,170,-10,-11,7.99E-08
16,36,170,-10,-10.8,7.90E-08
16,36,170,-10,-10.6,7.80E-08
16,36,170,-10,-10.4,7.71E-08
16,36,170,-10,-10.2,7.62E-08
16,36,170,-10,-10,7.53E-08
16,36,170,-10,-9.8,7.42E-08
16,36,170,-10,-9.6,7.32E-08
16,36,170,-10,-9.4,7.21E-08
16,36,170,-10,-9.2,7.11E-08
16,36,170,-10,-9,7.00E-08
16,36,170,-10,-8.8,6.88E-08
16,36,170,-10,-8.6,6.77E-08
16,36,170,-10,-8.4,6.65E-08
16,36,170,-10,-8.2,6.53E-08
16,36,170,-10,-8,6.41E-08
16,36,170,-10,-7.8,6.28E-08
16,36,170,-10,-7.6,6.16E-08
16,36,170,-10,-7.4,6.03E-08
16,36,170,-10,-7.2,5.90E-08
16,36,170,-10,-7,5.77E-08
16,36,170,-10,-6.8,5.63E-08
16,36,170,-10,-6.6,5.49E-08
16,36,170,-10,-6.4,5.35E-08
16,36,170,-10,-6.2,5.21E-08
16,36,170,-10,-6,5.07E-08
16,36,170,-10,-5.8,4.92E-08
16,36,170,-10,-5.6,4.76E-08
16,36,170,-10,-5.4,4.61E-08
16,36,170,-10,-5.2,4.46E-08
16,36,170,-10,-5,4.31E-08
16,36,170,-10,-4.8,4.15E-08
16,36,170,-10,-4.6,3.99E-08
16,36,170,-10,-4.4,3.83E-08
16,36,170,-10,-4.2,3.67E-08
16,36,170,-10,-4,3.51E-08
16,36,170,-10,-3.8,3.34E-08
16,36,170,-10,-3.6,3.17E-08
16,36,170,-10,-3.4,3.00E-08
16,36,170,-10,-3.2,2.84E-08
16,36,170,-10,-3,2.67E-08
16,36,170,-10,-2.8,2.49E-08
16,36,170,-10,-2.6,2.32E-08
16,36,170,-10,-2.4,2.14E-08
16,36,170,-10,-2.2,1.96E-08
16,36,170,-10,-2,1.79E-08
16,36,170,-10,-1.8,1.61E-08
16,36,170,-10,-1.6,1.43E-08
16,36,170,-10,-1.4,1.25E-08
16,36,170,-10,-1.2,1.07E-08
16,36,170,-10,-1,8.90E-09
16,36,170,-10,-0.8,7.12E-09
16,36,170,-10,-0.6,5.34E-09
16,36,170,-10,-0.4,3.56E-09
16,36,170,-10,-0.2,1.78E-09
16,36,170,-10,0,2.08E-19
16,36,170,-15,-60,1.80E-07
16,36,170,-15,-59.8,1.80E-07
16,36,170,-15,-59.6,1.80E-07
16,36,170,-15,-59.4,1.80E-07
16,36,170,-15,-59.2,1.80E-07
16,36,170,-15,-59,1.80E-07
16,36,170,-15,-58.8,1.80E-07
16,36,170,-15,-58.6,1.80E-07
16,36,170,-15,-58.4,1.80E-07
16,36,170,-15,-58.2,1.80E-07
16,36,170,-15,-58,1.80E-07
16,36,170,-15,-57.8,1.80E-07
16,36,170,-15,-57.6,1.80E-07
16,36,170,-15,-57.4,1.80E-07
16,36,170,-15,-57.2,1.80E-07
16,36,170,-15,-57,1.80E-07
16,36,170,-15,-56.8,1.80E-07
16,36,170,-15,-56.6,1.80E-07
16,36,170,-15,-56.4,1.80E-07
16,36,170,-15,-56.2,1.80E-07
16,36,170,-15,-56,1.80E-07
16,36,170,-15,-55.8,1.80E-07
16,36,170,-15,-55.6,1.80E-07
16,36,170,-15,-55.4,1.80E-07
16,36,170,-15,-55.2,1.80E-07
16,36,170,-15,-55,1.80E-07
16,36,170,-15,-54.8,1.80E-07
16,36,170,-15,-54.6,1.80E-07
16,36,170,-15,-54.4,1.80E-07
16,36,170,-15,-54.2,1.80E-07
16,36,170,-15,-54,1.80E-07
16,36,170,-15,-53.8,1.80E-07
16,36,170,-15,-53.6,1.79E-07
16,36,170,-15,-53.4,1.79E-07
16,36,170,-15,-53.2,1.79E-07
16,36,170,-15,-53,1.79E-07
16,36,170,-15,-52.8,1.79E-07
16,36,170,-15,-52.6,1.79E-07
16,36,170,-15,-52.4,1.79E-07
16,36,170,-15,-52.2,1.79E-07
16,36,170,-15,-52,1.79E-07
16,36,170,-15,-51.8,1.79E-07
