Len,Osc,Die,Vg,Vd,Id
11,30,105,-40,-35,0.00000196
11,30,105,-39.8,-35,0.00000195
11,30,105,-39.6,-35,0.00000193
11,30,105,-39.4,-35,0.00000192
11,30,105,-39.2,-35,0.0000019
11,30,105,-39,-35,0.00000189
11,30,105,-38.8,-35,0.00000187
11,30,105,-38.6,-35,0.00000186
11,30,105,-38.4,-35,0.00000184
11,30,105,-38.2,-35,0.00000183
11,30,105,-38,-35,0.00000181
11,30,105,-37.8,-35,0.0000018
11,30,105,-37.6,-35,0.00000178
11,30,105,-37.4,-35,0.00000177
11,30,105,-37.2,-35,0.00000175
11,30,105,-37,-35,0.00000174
11,30,105,-36.8,-35,0.00000172
11,30,105,-36.6,-35,0.00000171
11,30,105,-36.4,-35,0.00000169
11,30,105,-36.2,-35,0.00000168
11,30,105,-36,-35,0.00000166
11,30,105,-35.8,-35,0.00000165
11,30,105,-35.6,-35,0.00000163
11,30,105,-35.4,-35,0.00000162
11,30,105,-35.2,-35,0.0000016
11,30,105,-35,-35,0.00000159
11,30,105,-34.8,-35,0.00000157
11,30,105,-34.6,-35,0.00000155
11,30,105,-34.4,-35,0.00000154
11,30,105,-34.2,-35,0.00000152
11,30,105,-34,-35,0.00000151
11,30,105,-33.8,-35,0.00000149
11,30,105,-33.6,-35,0.00000148
11,30,105,-33.4,-35,0.00000146
11,30,105,-33.2,-35,0.00000145
11,30,105,-33,-35,0.00000143
11,30,105,-32.8,-35,0.00000142
11,30,105,-32.6,-35,0.0000014
11,30,105,-32.4,-35,0.00000139
11,30,105,-32.2,-35,0.00000137
11,30,105,-32,-35,0.00000136
11,30,105,-31.8,-35,0.00000134
11,30,105,-31.6,-35,0.00000133
11,30,105,-31.4,-35,0.00000131
11,30,105,-31.2,-35,0.0000013
11,30,105,-31,-35,0.00000128
11,30,105,-30.8,-35,0.00000127
11,30,105,-30.6,-35,0.00000125
11,30,105,-30.4,-35,0.00000124
11,30,105,-30.2,-35,0.00000123
11,30,105,-30,-35,0.00000121
11,30,105,-29.8,-35,0.0000012
11,30,105,-29.6,-35,0.00000118
11,30,105,-29.4,-35,0.00000117
11,30,105,-29.2,-35,0.00000115
11,30,105,-29,-35,0.00000114
11,30,105,-28.8,-35,0.00000112
11,30,105,-28.6,-35,0.00000111
11,30,105,-28.4,-35,0.00000109
11,30,105,-28.2,-35,0.00000108
11,30,105,-28,-35,0.00000107
11,30,105,-27.8,-35,0.00000105
11,30,105,-27.6,-35,0.00000104
11,30,105,-27.4,-35,0.00000102
11,30,105,-27.2,-35,0.00000101
11,30,105,-27,-35,0.000000995
11,30,105,-26.8,-35,0.000000981
11,30,105,-26.6,-35,0.000000968
11,30,105,-26.4,-35,0.000000954
11,30,105,-26.2,-35,0.00000094
11,30,105,-26,-35,0.000000927
11,30,105,-25.8,-35,0.000000913
11,30,105,-25.6,-35,0.0000009
